genre_ids,id,title,original_language,popularity,release_date,vote_average,vote_count,release_year,decade
"[878, 28, 12]",969681,Spider-Man: Brand New Day,en,1519.851,2026-07-28,8.0,301,2026.0,2020
"[12, 28, 14]",1368337,The Odyssey,en,1166.5658,2026-07-15,7.944,1859,2026.0,2020
"[28, 12, 878]",1081003,Supergirl,en,630.4075,2026-06-24,6.8,1139,2026.0,2020
"[28, 14, 878]",454639,Masters of the Universe,en,486.7027,2026-06-03,7.285,1347,2026.0,2020
"[878, 53]",1275779,Disclosure Day,en,397.2506,2026-06-10,7.407,2040,2026.0,2020
"[10751, 14, 35, 12]",1108427,Moana,en,363.4346,2026-07-08,5.9,155,2026.0,2020
"[27, 53]",1339713,Obsession,en,372.4236,2026-05-13,8.246,3945,2026.0,2020
"[12, 18, 28]",1284465,The Death of Robin Hood,en,309.2191,2026-06-18,6.646,134,2026.0,2020
"[16, 10751, 35, 12]",1084244,Toy Story 5,en,295.8489,2026-06-17,7.431,728,2026.0,2020
"[16, 28, 12, 14]",980431,Avatar Aang: The Last Airbender,en,303.9461,2026-07-24,9.391,488,2026.0,2020
"[27, 9648, 878]",1083381,Backrooms,en,275.4382,2026-05-27,7.08,2304,2026.0,2020
"[12, 16, 35, 10751, 14]",1315772,Minions & Monsters,en,267.108,2026-06-24,6.4,244,2026.0,2020
"[28, 27, 878]",1375646,Colony,ko,216.0898,2026-05-21,8.063,316,2026.0,2020
[53],1727780,Borderline,en,203.6838,2026-07-17,7.0,6,2026.0,2020
"[28, 53, 80]",1630409,The Debt Collector,th,210.3026,2026-07-20,6.5,23,2026.0,2020
"[16, 28, 14]",1311031,Demon Slayer: Kimetsu no Yaiba Infinity Castle,ja,190.4972,2025-07-18,8.407,1335,2025.0,2020
"[9648, 18]",1668364,Desire,es,170.9806,2026-05-07,6.747,152,2026.0,2020
"[878, 12]",687163,Project Hail Mary,en,178.9053,2026-03-15,8.661,6611,2026.0,2020
"[27, 28, 53]",1110034,Kraken,no,177.4785,2026-02-06,6.366,246,2026.0,2020
"[28, 12, 878]",634649,Spider-Man: No Way Home,en,238.9113,2021-12-15,7.934,22366,2021.0,2020
[35],1273221,Scary Movie,en,155.8584,2026-06-03,6.515,1295,2026.0,2020
[10749],1523145,Your Heart Will Be Broken,ru,161.0148,2026-03-26,7.1,118,2026.0,2020
"[35, 18]",1314481,The Devil Wears Prada 2,en,155.7044,2026-04-29,7.153,1761,2026.0,2020
"[27, 53]",1127384,Deep Water,en,136.697,2026-04-30,7.2,321,2026.0,2020
"[28, 12, 878]",1228710,The Mandalorian and Grogu,en,137.3255,2026-05-20,7.4,1016,2026.0,2020
"[35, 80]",949838,72 HOURS,en,119.4692,2026-07-20,6.82,192,2026.0,2020
"[10402, 18]",936075,Michael,en,115.7425,2026-04-22,8.694,3777,2026.0,2020
"[878, 28]",1698856,Master of the Universe,en,124.4017,2026-05-22,4.891,32,2026.0,2020
"[14, 10751, 10770, 12]",1318621,Descendants: Wicked Wonderland,en,104.7431,2026-07-16,7.559,128,2026.0,2020
"[28, 80, 53]",1280738,The Furious,zh,108.6396,2026-06-10,7.319,265,2026.0,2020
"[28, 14, 12]",931285,Mortal Kombat II,en,109.0879,2026-05-06,7.931,2200,2026.0,2020
"[27, 53]",1481343,The Devil's Mouth,en,101.3617,2026-07-29,6.845,161,2026.0,2020
"[878, 12, 14]",83533,Avatar: Fire and Ash,en,100.9911,2025-12-17,7.635,3985,2025.0,2020
"[18, 10749]",47612,Au Bonheur des Dames,fr,107.2438,1930-07-03,6.3,36,1930.0,1930
"[53, 27]",1430698,The Bay,en,101.4777,2026-07-02,6.679,14,2026.0,2020
[10749],1285366,Shape of My Heart,ja,116.5057,2024-07-06,6.25,4,2024.0,2020
[18],1728704,Siping,tl,103.6067,2026-07-10,2.833,3,2026.0,2020
"[10751, 35, 12, 14, 16]",1226863,The Super Mario Galaxy Movie,en,95.6592,2026-04-01,8.266,3281,2026.0,2020
"[18, 80]",278,The Shawshank Redemption,en,93.1432,1994-09-23,8.726,30887,1994.0,1990
"[35, 18, 10749]",532794,Sex Plate 17,ko,64.092,2017-11-13,6.2,13,2017.0,2010
"[27, 9648]",1304313,Lee Cronin's The Mummy,en,89.0095,2026-04-15,7.945,2394,2026.0,2020
