genre_ids,id,title,original_language,popularity,release_date,vote_average,vote_count,release_year,decade,genre
12,1368337,The Odyssey,en,1154.0314,2026-07-15,7.9,1802,2026.0,2020,Adventure
28,1368337,The Odyssey,en,1154.0314,2026-07-15,7.9,1802,2026.0,2020,Action
14,1368337,The Odyssey,en,1154.0314,2026-07-15,7.9,1802,2026.0,2020,Fantasy
878,969681,Spider-Man: Brand New Day,en,912.2268,2026-07-28,7.951,162,2026.0,2020,Science Fiction
28,969681,Spider-Man: Brand New Day,en,912.2268,2026-07-28,7.951,162,2026.0,2020,Action
12,969681,Spider-Man: Brand New Day,en,912.2268,2026-07-28,7.951,162,2026.0,2020,Adventure
28,1081003,Supergirl,en,614.8873,2026-06-24,6.713,1053,2026.0,2020,Action
12,1081003,Supergirl,en,614.8873,2026-06-24,6.713,1053,2026.0,2020,Adventure
878,1081003,Supergirl,en,614.8873,2026-06-24,6.713,1053,2026.0,2020,Science Fiction
28,454639,Masters of the Universe,en,503.965,2026-06-03,7.295,1307,2026.0,2020,Action
14,454639,Masters of the Universe,en,503.965,2026-06-03,7.295,1307,2026.0,2020,Fantasy
878,454639,Masters of the Universe,en,503.965,2026-06-03,7.295,1307,2026.0,2020,Science Fiction
878,1275779,Disclosure Day,en,438.6074,2026-06-10,7.417,2011,2026.0,2020,Science Fiction
53,1275779,Disclosure Day,en,438.6074,2026-06-10,7.417,2011,2026.0,2020,Thriller
10751,1108427,Moana,en,393.925,2026-07-08,5.909,154,2026.0,2020,Family
14,1108427,Moana,en,393.925,2026-07-08,5.909,154,2026.0,2020,Fantasy
35,1108427,Moana,en,393.925,2026-07-08,5.909,154,2026.0,2020,Comedy
12,1108427,Moana,en,393.925,2026-07-08,5.909,154,2026.0,2020,Adventure
27,1339713,Obsession,en,372.1049,2026-05-13,8.253,3903,2026.0,2020,Horror
53,1339713,Obsession,en,372.1049,2026-05-13,8.253,3903,2026.0,2020,Thriller
16,1084244,Toy Story 5,en,298.8514,2026-06-17,7.4,724,2026.0,2020,Animation
10751,1084244,Toy Story 5,en,298.8514,2026-06-17,7.4,724,2026.0,2020,Family
35,1084244,Toy Story 5,en,298.8514,2026-06-17,7.4,724,2026.0,2020,Comedy
12,1084244,Toy Story 5,en,298.8514,2026-06-17,7.4,724,2026.0,2020,Adventure
27,1083381,Backrooms,en,288.8807,2026-05-27,7.076,2268,2026.0,2020,Horror
9648,1083381,Backrooms,en,288.8807,2026-05-27,7.076,2268,2026.0,2020,Mystery
878,1083381,Backrooms,en,288.8807,2026-05-27,7.076,2268,2026.0,2020,Science Fiction
12,1284465,The Death of Robin Hood,en,307.1527,2026-06-18,6.6,129,2026.0,2020,Adventure
18,1284465,The Death of Robin Hood,en,307.1527,2026-06-18,6.6,129,2026.0,2020,Drama
28,1284465,The Death of Robin Hood,en,307.1527,2026-06-18,6.6,129,2026.0,2020,Action
16,980431,Avatar Aang: The Last Airbender,en,289.7811,2026-07-24,9.402,437,2026.0,2020,Animation
28,980431,Avatar Aang: The Last Airbender,en,289.7811,2026-07-24,9.402,437,2026.0,2020,Action
12,980431,Avatar Aang: The Last Airbender,en,289.7811,2026-07-24,9.402,437,2026.0,2020,Adventure
14,980431,Avatar Aang: The Last Airbender,en,289.7811,2026-07-24,9.402,437,2026.0,2020,Fantasy
12,1315772,Minions & Monsters,en,225.4018,2026-06-24,6.413,241,2026.0,2020,Adventure
16,1315772,Minions & Monsters,en,225.4018,2026-06-24,6.413,241,2026.0,2020,Animation
35,1315772,Minions & Monsters,en,225.4018,2026-06-24,6.413,241,2026.0,2020,Comedy
10751,1315772,Minions & Monsters,en,225.4018,2026-06-24,6.413,241,2026.0,2020,Family
14,1315772,Minions & Monsters,en,225.4018,2026-06-24,6.413,241,2026.0,2020,Fantasy
53,1727780,Borderline,en,217.0322,2026-07-17,7.0,6,2026.0,2020,Thriller
28,1630409,The Debt Collector,th,212.1374,2026-07-20,6.659,22,2026.0,2020,Action
53,1630409,The Debt Collector,th,212.1374,2026-07-20,6.659,22,2026.0,2020,Thriller
80,1630409,The Debt Collector,th,212.1374,2026-07-20,6.659,22,2026.0,2020,Crime
28,1375646,Colony,ko,222.9323,2026-05-21,8.0,296,2026.0,2020,Action
27,1375646,Colony,ko,222.9323,2026-05-21,8.0,296,2026.0,2020,Horror
878,1375646,Colony,ko,222.9323,2026-05-21,8.0,296,2026.0,2020,Science Fiction
35,1273221,Scary Movie,en,174.4842,2026-06-03,6.51,1262,2026.0,2020,Comedy
9648,1668364,Desire,es,182.9255,2026-05-07,6.8,148,2026.0,2020,Mystery
